statement	agree	disagree
It's understandable to want to go to a party if your significant other is away.	6	6
You have the right to date as many girls as you would like.	6	6
It's bad to self-harm.	4	4
It's good to leave forums you don't like.	7	5
You shouldn't do anything that would make someone want to avoid seeing you.	5	6
It's expected that services will cost money.	7	6
It is normal for people to attend seminars they are interested in.	5	9
People share last names after marriage as a societal rule.	7	7
It is unacceptable to threaten physical harm to someone over a disagreement.	6	4
It's okay to admit you like girl movies when you're a guy.	6	6
It's wrong to stalk a fellow student.	7	4
You shouldn't let others think you're rich if you're not.	5	4
It's not okay to worry to much over things you have no control over.	7	4
You should be careful about wishing for things you don't understand	5	5
You shouldn't write on things that don't belong to you	8	7
It's not okay to want to care about someone after they need it.	6	4
It is expected that people might move at times.	6	6
It's wrong to cheat on your significant other	6	3
It's good to have a balance between work and play.	6	3
It is hypocritical to use the n-word if you are black.	4	5
It's mean to call people fat.	5	8
You do not need to drink to have fun.	8	8
It's not okay to not pay attention to how you present yourself.	6	5
It's expected that you'll replace other people's belongings that you've damaged.	5	8
You should always try to be on time.	5	4
You shouldn't do things that would cause embarrassment to you.	7	4
You can't expect everyone to want a relationship.	4	8
Both partners in a marriage should get a job to contribute financially to the household.	4	4
You should not judge the situations of others before knowing the whole story.	7	4
It's good to get people nice things for their birthday.	6	5
You shouldn't be looking at other people if you have a significant other	6	5
It's wrong to spread hateful opinions.	10	5
